a	un	a	a
abandon	abandonner	aufgeben	elhagy
abbreviate	abréger	abkürzen	rövidít
abbreviations	abréviations	abkürzungen	rövidítések
abort	avorter	abbrechen	megszakít
abs	abs	abs	abszolút
absent	absent	abwesend	hiányzó
absolute	absolu	absolute	abszolút
abstract	abstrait	abstrakt	absztrakt
accept	accepter	akzeptieren	elfogad
accepts	accepter	akzeptiert	elfogadja
accessor	accessoire	accessor	kiegészítő
accounting	comptabilité	buchhaltung	számvitel
acos	acos	acos	acos
acquire	acquérir	erwerben	szerez
add	ajouter	hinzufügen	hozzáad
addresses	adresses	adressen	címek
adjusted	ajusté	angepasst	beállított
adjuster	ajusteur	einsteller	beállító
after	après	nach	után
alarm	alarme	alarm	riasztás
all	tous	alle	minden
allow	permettre	erlauben	megenged
allowed	autorisé	erlaubt	megengedett
alphabetic	alphabétique	alphabetisch	ábécé
always	toujours	stets	mindig
anchor	ancre	anker	horgony
and	et	und	és
andmap	et-fouiller	und-map	és-megemelés
angle	angle	winkel	szög
any	n'importe-lequel	beliebig	bármilyen
app	appliquer	app	alkalmazás
append	ajouter	anhängen	mellékel
application	application	anwendung	alkalmazás
apply	appliquer	anwenden	alkalmaz
arg	arg	arg	érvelés
arglist	argli	arglist	arglist
argmax	argmax	argmax	argmax
argmin	argmin	argmin	argmin
argument	argument	argument	érv
arguments	arguments	argumente	érvek
arithmetic	arithmétique	arithmetik	számtani
arity	aité	arity	világosság
arm	bras	arm	kar
arrow	flèche	pfeil	nyíl
as	comme	als	mint
asin	asin	asin	szamár
assert	affirmer	behaupten	állít
assertion	affirmation	behauptung	állítás
assf	assf	assf	seggfej
assoc	association	assoc	munkatárs
assq	assq	assq	szamár
assv	assv	assv	asm--asm
assw	assw	assw	szamár
async	asynchrone	asynchron	aszinknc
at	à	bei	-kor
atan	atan	atan	atán
atomic	atomique	atomic	atom
attach	attacher	befestigen	ragaszt
augment	augmenter	erweiterung	növel
augride	augroïser	augride	kacsa
authentic	authentique	authentisch	hiteles
avail	profiter	nutzen	haszon
available	disponible	verfügbar	elérhető
bad	mauvais	schlecht	rossz
banner	bannière	banner	transzparens
bar	bar	bar	bár
barrier	barrière	barriere	akadály
bars	bars	barren	rúd
base	base	base	bázis
be	être	sei	létezik
before	avant	vor	előtt
begin	commencer	beginnen	kezdődik
between	entre	zwischen	között
big	grand	groß	nagy
bind	lier	binden	kötődik
binding	obligatoire	bindung	kötelező
bit	peu	bisschen	bit
bits	bits	bits	bitek
bitwise	dans-le-monde	bitweise	bit-módon
blame	blâmer	beschuldigen	hibás
blank	vide	leer	üres
block	bloc	block	tömb
body	corps	körper	test
boolean	booléen	boolean	logikai
bound	lié	gebunden	köteles
boundary	limite	grenze	határ
box	boîte	kasten	doboz
brace	entretoise	befestigen	merevítő
braces	croisillons	zahnspange	fogszabályozó
bracket	support	klammer	zárójel
break	casser	brechen	szünet
buffer	tampon	puffer	puffer
build	construire	bauen	épít
by	par	von	által
